TABNAME	TCODE	LIFNR	MATNR	ZZMAKER	ZZJSQI	ZZKUBUN	ZZJAPAN	ZZRM_ORIGIN	ZZCATEGORY	ZZPACKING_TYPE	ZZPACKING_SIZE	ZZPACKING_UNIT	ZZINCI_NAME
	ME12	C000002	91106135100	TAIYO KAGAKU CO., LTD.	Y	4	61351	JP	Surfactant	CAN	10	KG	Glyceryl Stearate
	ME12	C000002	91106161100	UENO FINE CHEMICALS INDUSTRY, LTD	Y	4	61611	JP	Surfactant	CAN	10	KG	ETHYL P-HYDROXYBENZOATE
	ME12	C000002	91106172100	Mitsubishi Chemical Corporation	Y	4	61721	JP	Actives	BOTTLE	5	KG	TOCOPHEROL ACETATE
	ME12	C000002	91103600000	ICHIMARU PHACOS	Y	4	36000	JP	Actives	CAN	5	KG	Aloe Barbadensis Leaf Extract (and) Ethylparaben (and) Methylparaben (and) Propylparaben (and) Butylene Glycol (and) Water.
	ME12	C000002	91100131400	Nippon Seiro	Y	4	01314	JP	Wax & Oils	BOX	28	KG	Paraffin Wax
	ME12	C000002	91100166100	Mitsui Chemicals, Inc	Y	4	01661	JP	Alcohol and Polyols	CAN	14	KG	Isopropyl alcohol
	ME12	C000002	91101391400	Global Amines Japan K.K.	N	4	13914	JP	Surfactant	DRUM	200	KG	Coco betaine
	ME12	C000002	91100395800	LUBRIZOL SPECIALTY CHEMICAL	Y	4	03958	CN	Polymers	CAN	20	KG	Quaternary ammonium compound 
	ME12	C000563	91122A89700	T.HASEGAWA CO., LTD.	Y	2	2A897	JP	Fragrance	DRUM	180	KG	FRAGRANCE
	ME12	C000002	91100351800	KAWAKEN FINE CHEMICAL CO., LTD	Y	4	03518	JP	Surfactant	DRUM	180	KG	coconut fatty acid diethanolamide
	ME12	C000002	91100197400	NOF CORPORATION	Y	4	01974	JP	Polymers	DRUM	200	KG	Poly[oxy(methyl-1,2-ethanediyl)],à,à',à''-1,2,3-propanetriyltris[?-hydroxy-
	ME12	C000002	91122B56200	Givaudan	Y	4	2B562	CN	Fragrance	DRUM	180	KG	FRAGRANCE
	ME12	C000002	91101412400	TAYCA CORPORATION	Y	4	14124	JP	Powders	BAG	10	KG	Titanium Dioxide/ Aluminum Hydroxide / Stearic Acid
	ME12	C000002	91100998700	SEKISUI KASEI	Y	4	09987	JP	Polymers	BAG	20	KG	Polymethyl Methacrylate (PMMA microsphere series)
	ME12	C000002	91101391100	Lubrizol Advanced Materials, Inc	Y	4	13911	CN	Polymers	DRUM	234	KG	Polyquaternium-7
	ME12	C000002	91100354700	NIPPON SURFACTANT INDUSTRIES CO., LTD.	Y	4	03547	JP	Surfactant	CAN	18	KG	Polysorbate 80
	ME12	C000002	91100796900	BioGenics, Inc.	Y	4	07969	KR	Coloring Agents	DRUM	10	KG	CI 77492/CI 77891/Mica/Polyester-1
	ME12	C000002	91100557300	DAITO KASEI KOGYO CO., LTD	N	4	05573	JP	Coloring Agents	BAG	20	KG	Yellow Iron oxide/Triethoxycaprylylsilane
	ME12	C000002	91122B51300	OGAWA & CO., LTD	Y	4	2B513	JP	Fragrance	CAN	15	KG	Mixtures
	ME12	C000002	91100436500	Yamaguchi mica co., LTD.	Y	4	04365	JP	Powders	BAG	20	KG	Mica, Muscovite
	ME12	C000002	91100145800	Momentive Performance Materials Japan LLC	Y	4	01458	JP	Silicones	CAN	15	KG	Silica (grade code ? c?n SDS ?? x c nh?n n?u kh c)
	ME12	C000002	91100629700	KOEI KOGYO CO., LTD	Y	4	06297	JP	Actives	CAN	15	KG	PHELLODENDRON AMURENSE BARK EXTRACT/ALCOHOL/WATER
